,StreetAddress
0,2130 Neil Avenue
1,93 West 12th Avenue
2,129 West 12th Avenue
3,88 W. Woodruff Avenue
4,136 W. Woodruff Avenue
5,2125 N. High Street
6,2115 N. High Street
7,236 West 11th Avenue
8,191 W. Lane Avenue
9,220 West 11th Avenue
10,141 West 11th Avenue
11,60 West Woodruff Avenue
12,225 West 10th Avenue
13,112 W. Woodruff Avenue
14,61 West Lane Avenue
15,97 W. Lane Avenue
16,123 W. Lane Avenue
17,328 West Lane Avenue
18,1810 Cannon Dr
19,1698 Neil Avenue
20,190 West Woodruff Ave.
21,1900 Cannon Drive
22,1858 Neil Ave
23,175 W 18th Ave
